participant,paragraph,speaker,text
participant9,1,Interviewer ,"Yeah, oh and thank you for agreeing to meet with me.  So the first thing is have you spoken to any of the other guys who've done the interview with me already? "
participant9,2,Interviewee,I don't know of anyone else have done the interview. 
participant9,3,Interviewer ,"Fine, okay.  So there are a couple of other people that have done interviews with me so I just wanted to know if you'd had a chance or whether you've chatted to any of them about it or… not particularly?"
participant9,4,Interviewee ,Hmm.  
participant9,5,Interviewer ,"Okay, all right.  Well that's no problem it was just to see if there was anything you'd kind of been discussing already for us to talk about.  So I think I will tend to start with asking is what word do you tend to use for testicles?"
participant9,6,Interviewee ,I don't know. 
participant9,7,Mother ,What do you call them?  Not to feel embarrassed cos that's what you came to talk about and please what do you call them with your chat to your pals? 
participant9,8,Interviewee ,Just don't talk about that stuff.  
participant9,9,Mother ,If you were going to talk to [name].
participant9,10,Interviewee ,"Yeah, "
participant9,11,Mother ,Say you've been playing football and you kicked the ball and it hit him in his testicles.
participant9,12,Interviewee ,In the balls. 
participant9,13,Interviewer ,"Yeah, that's a pretty good word.  I think that's a pretty common word actually.  I think a lot of people use balls.  Fine, but like you were saying that probably isn't something that you talk about normally."
participant9,14,Interviewee ,Hmm.
participant9,15,Interviewer ,I can understand that as well.  Have you ever had… like need to…have you ever talked about testicles or balls?
participant9,16,Interviewee ,Not really no
participant9,17,Interviewer ,"Not really, so with your mates?  And what about your Mother?"
participant9,18,Interviewee ,A bit.   
participant9,19,Interviewer ,Fine.
participant9,20,Interviewee ,Hmm?
participant9,21,Interviewer ,Fine.
participant9,22,Interviewee ,Oh.
participant9,23,Interviewer ,And what kind of things have you talked to your Mother about?
participant9,24,Interviewee ,Certain… just generally size of them cos there's different sizes.
participant9,25,Interviewer ,"Okay, all right.  So you've noticed in yourself that the testicles are different sizes?"
participant9,26,Interviewee ,Yeah. 
participant9,27,Interviewer ,Fine and when was… like when was this that you noticed this?
participant9,28,Interviewee ,A month or two ago.
participant9,29,Interviewer ,"Okay, fine.  Fine, fine, so then how did you… how long had you been worrying about it or how long had you noticed it for?"
participant9,30,Interviewee ,I wasn't really worried about it just didn't know if it was normal.
participant9,31,Interviewer ,"Yeah, yeah fine.  I guess I was kind of asking about how long did it take you to talk to your Mother about it?  Was it like kind of thing where as soon as you noticed it, you thought, oh right gonna talk to my Mother or did you kind of wait a while or wha"
participant9,32,Interviewer ,"Three or four weeks, okay.  So fine and how did you first… have you… has someone talked to you about any… have you… did you see a doctor?  What did you do?  Have you…"
participant9,33,Interviewee ,Dad said that it's just normal.
participant9,34,Interviewer ,"Yeah okay, yeah, yeah.  Fine, fine, so you kind of had a bit of a conversation about it and at the moment you realised that was something not to… not to worry about…"
participant9,35,Interviewee ,Yeah.
participant9,36,Interviewer ,"particularly, fine.  So is there anything else that… do you know about any other things like problems that you might get with your testicles?"
participant9,37,Interviewee ,"Not really, no."
participant9,38,Interviewer ,Okay and have you had like any lessons yet about testicles and balls and things and what they do?
participant9,39,Interviewee ,In science.  
participant9,40,Interviewer ,"In science was it, so in your biology lessons?"
participant9,41,Interviewee ,Yeah.
participant9,42,Interviewer ,Yeah fine and what kind of things did you talk about there?
participant9,43,Interviewee ,Reproduction.
participant9,44,Interviewer ,"Aha, okay.  So is that about like sex and things like that?"
participant9,45,Interviewee ,Yeah.
participant9,46,Interviewer ,"And what did you talk about with the testicles specifically, was there anything about them?  "
participant9,47,Interviewee ,Talked about what like what the… what their purpose was.
participant9,48,Interviewer ,"Fine, so… and do you feel like… you feel happy and clear about that.  Do you think you'd be able to tell us this, I know obviously it's slightly unusual talking, but what are the functions of the testicles?  Do you know?"
participant9,49,Interviewee ,Make sperm.
participant9,50,Interviewer ,"Yeah, that's absolutely right and do you know about their other functions?  The other important things they do?"
participant9,51,Interviewee ,No.
participant9,52,Interviewer ,So they talked about them a bit with sex but maybe not so much about the other things they do?
participant9,53,Interviewee ,"No, not really just reproduction we did. "
participant9,54,Interviewer ,"Fine, so if I say to you that they make hormones as well.  Do you know about the hormones that they make?"
participant9,55,Interviewee ,"Hmm, they went over a bit… like a little bit, but not that much."
participant9,56,Interviewer ,Do you think they did mention it to you or do you think it's… you know or do you think that maybe… do you think they did mention that bit or not really?   
participant9,57,Interviewee ,Briefly.
participant9,58,Interviewer ,"Briefly, fine, fine, so now that you say it, you go oh yeah, yeah, fine.  You can recall that bit about it cos it makes many important hormones that obviously helps you go through puberty. "
participant9,59,Interviewee ,Hmm.
participant9,60,Interviewer ,And stuff like that.  So you've had lessons about that in your biology lessons?
participant9,61,Interviewee ,Yeah.
participant9,62,Interviewer ,Have you had any other lessons about?
participant9,63,Interviewee ,"Not really, no. "
participant9,64,Interviewer ,"No, okay and in terms of kind of your… due you have share or are you on… is it you know what's your… do you like social classes at the moment?"
participant9,65,Interviewee ,No.
participant9,66,Interviewer ,So are you at the moment are you in high school?
participant9,67,Interviewee ,Yeah.
participant9,68,Interviewer ,"Yeah, so you're first year high school?"
participant9,69,Interviewee ,Yeah.
participant9,70,Interviewer ,"Yeah, okay fine and have you had any lessons about any aspects of… it's called like there's about a hundred different names for it…"
participant9,71,Interviewee ,Hmm. 
participant9,72,Interviewer ,"It's like PSHCE, PSE, PSHARE like all these different classes."
participant9,73,Interviewee ,We have PSE in English.
participant9,74,Interviewer ,"Yeah, fine, fine, fine and have you talked about any of it, like kind of the testicles have you gone into anything like that with them? "
participant9,75,Interviewee ,No.
participant9,76,Interviewer ,Okay.
participant9,77,Interviewee ,Because the teachers been ill so we haven't really done it recently
participant9,78,Interviewer ,"Oh, and which teacher teaches you it?  Is it your form tutor or your…?"
participant9,79,Interviewee ,It's just like a stand-in teacher.
participant9,80,Interviewer ,A stand-in teacher at the moment… 
participant9,81,Interviewee ,Yeah.
participant9,82,Interviewer ,for your PSE lessons and stuff and are you made aware of the kind of curriculum… whatever lessons that are going to be happening or not particularly? 
participant9,83,Mother ,"Not really, not…"
participant9,84,Interviewer ,"So [laughter] it turns up and you're like, all right."
participant9,85,Mother ,What about in P7 did you talk anything like that in P7?
participant9,86,Interviewee ,Yeah.
participant9,87,Mother ,Yeah.  What was that called again?
participant9,88,Interviewee ,"Called ""seven plan""."
participant9,89,Interviewer ,Oh and what did you talk about?  Did you talk about again with that kind of…
participant9,90,Interviewee ,Yeah.
participant9,91,Interviewer ,Was that growing up and what's going to happen with puberty kind of chats?
participant9,92,Interviewee  ,Yeah.
participant9,93,Interviewer ,"Yeah, yeah, but maybe, okay all right, all right.  So do you know what would you do if you suddenly got quite a lot of pain in your testicle or ball?"
participant9,94,Interviewee ,Tell my Mother or dad.
participant9,95,Interviewer ,Fine and like when would you tell them and how would you tell them do you think?
participant9,96,Interviewee ,Wait maybe about one or two days and then just go up to them and say I've got a bit of pain in my balls.
participant9,97,Interviewer ,"Okay, all right and why do you think you'd wait a little while?"
participant9,98,Interviewee ,"Just because it might stop, someone hit a football and it hit my…   "
participant9,99,Interviewer ,"Yeah, so you've previous pain?"
participant9,100,Interviewee ,Yeah.
participant9,101,Interviewer ,But ended up kind of going away on its own?
participant9,102,Interviewee ,"Yes, hmm. "
participant9,103,Mother ,Yes.
participant9,104,Interviewer ,"Yes, okay and so you've occasionally had a bit of pain down below and in your balls maybe that kind of got better.  And what do you think it would be that would make you talk to your parents about it?"
participant9,105,Interviewee ,I don't know.
participant9,106,Interviewer ,And do you think you talk to your parents before your friends?
participant9,107,Interviewee ,Probably.
participant9,108,Interviewer ,Do you think you'd ever tell your friends you had a pain in your balls or something?
participant9,109,Interviewee ,No.
participant9,110,Interviewer ,And why do you think not?
participant9,111,Interviewee ,Just because we don't talk about that kind of stuff normally.
participant9,112,Interviewer ,"When you mean that kind of stuff, what do you mean?  What do you mean by that?"
participant9,113,Interviewee ,Like private stuff.
participant9,114,Interviewer ,"Yeah and why do you think that testicles are private?  I think you're absolutely right.  I'm totally agreeing with you, but I'm just kind of interested to find out what it is about them that maybe makes them private and something that you wouldn't necessa"
participant9,115,Interviewee ,"Just cos you sort of wouldn't like show them in public, so…"
participant9,116,Interviewer ,Yeah.
participant9,117,Interviewee ,and it's private.
participant9,118,Interviewer ,"Yeah, yeah okay, cos you'd [laughter] probably get arrested if you started to show them in public wouldn't you?  Yeah, you're absolutely right, so there's maybe a part of it that they're covered away and you don't see them very much.  And do you think the"
participant9,119,Interviewee ,It's not a real problem.
participant9,120,Interviewer ,It's not really a problem.  If one of your mates came to you and said they had pain in their testicles…
participant9,121,Interviewee ,I'd tell them to go and see a doctor.
participant9,122,Interviewer ,"Yeah, that seems like a very sensible thing to say.  And do you think you'd feel shy or embarrassed if your friend came to you? "
participant9,123,Interviewee ,A bit embarrassed. 
participant9,124,Interviewer ,Yeah.
participant9,125,Interviewee ,Because you don't expect them to come to me first. 
participant9,126,Interviewer ,Yeah.
participant9,127,Interviewee ,You'd expect them to go to their Mother or dad.
participant9,128,Interviewer ,Yeah.  So if you do have problems with your health I guess generally the first person you tell is your Mother or your dad.
participant9,129,Interviewee ,Hmm [affirmative]. 
participant9,130,Interviewer ,Yeah.  And if it's your testicles is it different?  Do you think you'd be more likely to go to your dad or more likely to go to your Mother?
participant9,131,Interviewee ,Probably my dad.
participant9,132,Interviewer ,"Yeah, yeah fine.  And I'm going to ask your Mother now.  What do think you'd do in the case of like testicular pain, so pain in the balls.  I don't know have you ever… have you got any experience anything like this, you know, know anyone whose had anythin"
participant9,133,Mother ,"No, but my background is a nurse.  I'm a nurse with a background in pain so that probably makes me guilty of like leaving things…"
participant9,134,Interviewer ,[Laughter] no I think lots of people do.
participant9,135,Interviewee ,Yeah.
participant9,136,Interviewer ,"Medics and nurses, generally the worse for it, definitely."
participant9,137,Mother ,"Yeah, if it was anything that was ongoing I think I probably go and get it seen."
participant9,138,Interviewer ,"Yeah, yeah and where would be your port of call do you think with testicular pain?"
participant9,139,Interviewee ,"Doc, GP."
participant9,140,Interviewer ,"Your GP? Your family doctor, yeah.  And have you been to your GP.  Have you seen them for anything in particular?"
participant9,141,Interviewee ,"Not really, no.  No, I don't think so."
participant9,142,Interviewer ,"Yeah, you know what young people are like, (inaudible 10:16)  family doctor.  Have you ever been to the hospital?"
participant9,143,Interviewee ,"Once, it was because I broke… I'd done something to my collarbone. "
participant9,144,Interviewer ,Did you break it?
participant9,145,Interviewee ,I actually don't really know what happened
participant9,146,Mother ,We don't really know.
participant9,147,Interviewer ,But it seems it got better?
participant9,148,Interviewee ,"Yeah, it's fine now."
participant9,149,Interviewer ,"Good, good and you got seen was it… were you in the emergency department was it?"
participant9,150,Interviewee ,I don't know.
participant9,151,Mother,"Yeah, I remember, you were in P2. "
participant9,152,Interviewee ,P3 
participant9,153,Mother ,It was P2 it was Mrs R [teachers name].  We went up to Yorkhill to A&E.
participant9,154,Interviewer ,Fine and did you end up having to go into the hospital or did you just get treated in the emergency department?   
participant9,155,Interviewee ,Yeah. 
participant9,156,Interviewer ,"Yeah, so have you been on a ward before?"
participant9,157,Interviewee ,"No, never. "
participant9,158,Interviewer ,What do you think about things like hospitals and have you got any impressions of them like…? 
participant9,159,Interviewer ,"Yeah, sure.  And you've not had an operation then I'm guessing."
participant9,160,Interviewee ,No.
participant9,161,Interviewer ,Do you know anyone who's had an operation?
participant9,162,Interviewee ,"Hmm, my granny has.  "
participant9,163,Interviewer ,"Right, right and she's been in hospital then I guess?  And have you visited her there?"
participant9,164,Interviewee ,"No, cos she… I don't know why."
participant9,165,Mother ,(inaudible 11:33)
participant9,166,Interviewee ,Visit (inaudible 11:34).
participant9,167,Mother ,"She was only in for a couple of days each time wasn't she, so…"
participant9,168,Interviewer ,"Fine, so she didn't have to spend too long."
participant9,169,Mother ,Yeah.  
participant9,170,Interviewer ,"Yeah, I mean yeah, yeah don't want to maybe disrupt you like, yeah. "
participant9,171,Mother ,"Yeah, probably get better."
participant9,172,Interviewer ,Yeah.
participant9,173,Mother ,(Inaudible 11:48) 
participant9,174,Interviewer ,"[Laughter] oh that's it.  I'm sure she'd love to have you around,"
participant9,175,Interviewee ,"Hmm, no. "
participant9,176,Interviewer ,Have you heard of anything from your friends or your family or any famous people?
participant9,177,Interviewee ,No.
participant9,178,Interviewer ,"Okay, so the reason that I'm… a big part of the reason why I'm doing this project is because there's a thing called testicular torsion or testicular twisting and I don't know have you ever heard of this? "
participant9,179,Interviewee ,No. 
participant9,180,Interviewer ,Now that I'm saying it.  And have you ever heard of it?
participant9,181,Mother ,Yeah. 
participant9,182,Interviewer ,"Yeah, so it's a problem you can get which some boys get which is if the testicle twists it ends up… because you know your testicle is on a string effectively that's got the blood supply in it.  If your testicle twists then it cuts off its own blood supply"
participant9,183,Mother ,Yeah.
participant9,184,Interviewee ,Does it… when it just like literally twists?
participant9,185,Interviewer ,"Yes, literally twist, yeah exactly right, exactly right. "
participant9,186,Interviewee ,Oh.
participant9,187,Interviewer ,And it's the kind of thing whereby you don't need pa… like really worry this doesn't happen to everyone but it happens to enough people so about 1:800 people before they're 25; so it's up to… so it's young persons; so it's people of your age group.  So th
participant9,188,Interviewee ,Hmm.
participant9,189,Interviewer ,why do you think a lot of people don't come?
participant9,190,Interviewee ,Because they're thinking it will maybe get better.
participant9,191,Interviewer ,"Yeah, exactly what I think."
participant9,192,Interviewee ,I think that's what I thought.
participant9,193,Interviewer ,"Yeah and I think that's really true and that's really common, yeah exactly.  Do you think people… do you know the word optimistic?"
participant9,194,Interviewee ,"Hmm, no. "
participant9,195,Interviewer ,You know when people kind of always want to sort of think about the good things and…
participant9,196,Interviewee ,Yes.
participant9,197,Interviewer ,"Do you think… I always wonder if people are a bit optimistic about their health as well hoping that, you know hoping that it’s the best and then for kind of like not exactly necessarily totally appreciating it might be something serious.  The fact that yo"
participant9,198,Interviewee ,"A bit, yeah. "
participant9,199,Interviewer ,A bit.  Do you think you would be a bit worried an operation?
participant9,200,Interviewee ,Yeah.
participant9,201,Interviewer ,"So the operation is something that's quite safe and you know that we do these operations, so we'd obviously look after you.  Do you think it would be funny to have a general anaesthetic to go to sleep for it? "
participant9,202,Interviewee ,No.
participant9,203,Interviewer ,"You'd be all right with that bit of it… fine, fine.  And what about… so when you come to hospital would it bother you if you saw a lady doctor or a man doctor?  Would that bother you either way?"
participant9,204,Interviewee ,"Not really, because they're trained to do the same thing."
participant9,205,Interviewer ,"Yeah, I think really think that's a very sensible answer, that's great.  So do you know about anything else that can happen to testicles?  So twisting is one and you can sometimes get fluid around your testicles but the other big thing people talk about i"
participant9,206,Interviewee ,Hmm.  
participant9,207,Interviewer ,Have you ever heard about lumps and what you might be worried about with lumps in the testicles?
participant9,208,Interviewee ,No.
participant9,209,Interviewer ,Has anyone told you about self-examination.
participant9,210,Interviewee ,No.
participant9,211,Interviewer ,"Okay, so… and again I apologise if this is anything that's personal or difficult but you can get cancer in the testicles as well, so again, it's very unusual, it's very unlikely but we recommend that all young people probably examine their testicles about"
participant9,212,Interviewee ,No.
participant9,213,Interviewer ,"No, so testicular cancer is generally very curable if it's caught early, so that's why we talk about it, it's rarer, it's about four times less likely than a twisted testicle, and again it's a bit older so it's about 25, so if you were that little bit old"
participant9,214,Interviewee ,So is it just like a big lump?
participant9,215,Interviewer ,"You'd feel… you'd feel a lump in your testicle, yeah."
participant9,216,Interviewee ,So you'd be able to help?
participant9,217,Interviewer ,"Yeah, so what would be a good way of describing it, so if you imagine something like… cause it feels a bit like a siliconey blob doesn't it your testicle and imagine like there's a bit of a stone in it or something hard that feels like a different consist"
participant9,218,Interviewee ,Hmm.
participant9,219,Interviewer ,"If… right, so I've obviously talked to you now a bit about that.  If you had found a lump in your testicle before this chat can you imagine… what would you have done about it?     "
participant9,220,Interviewee ,Hmm told my dad or someone. 
participant9,221,Interviewer ,"Yep, again really sensible.  Do you think you'd ever of had a look for yourself for information from anywhere?"
participant9,222,Interviewee ,No.
participant9,223,Interviewer ,So do you use the Internet do you ever to look for things.  Do you think this is something you would use the Internet for or not so much?
participant9,224,Interviewee ,No. 
participant9,225,Interviewer ,"no and I'm going to ask you another similar kind of question, if… I mean I guess again you've got a background of nursing; again the stuff I'm saying about testicular cancer is that stuff that you knew a bit about or…?  "
participant9,226,Mother ,"Yeah probably, yeah."
participant9,227,Interviewer ,So… and again if someone came to you with a lump you probably would first port of call see your GP rather than sort of look up stuff yourself.
participant9,228,Mother ,I would probably look stuff up and worry. 
participant9,229,Interviewer ,"Yeah, yeah, yeah, yeah, no yeah that's great, that's great."
participant9,230,Mother ,I'd use the Internet and look at NHS Web sites and stuff.
participant9,231,Interviewer ,"Right, so you probably would look for that kind of badge as a sign of quality information."
participant9,232,Mother ,Yeah.
participant9,233,Interviewer ,Would you think that there was… that there might be… that the information might be… some of it might not be… might be a bit biased if it's not necessarily got an NHS badge on it or…
participant9,234,Mother ,The NHS NICE something like that…
participant9,235,Interviewer ,"Yeah, so you know.   "
participant9,236,Interviewer ,"Because there might be some other stuff that you can't quite trust as much, fine."
participant9,237,Interviewer ,"So where do you find it?  Where do you get information about stuff from mostly?  I'm asking you really tough questions aren't I [laughter].  You're like, what is she asking me?  So have you ever heard of any famous people that have had problems with their"
participant9,238,Interviewee ,No.
participant9,239,Interviewer ,"No, fine and obviously, none of your friends or family have had any problems.  So you're going to be the expert now I think [laughter] good, good.  So I've told you are few things today and I get the impression that a lot of it is just stuff that's never "
participant9,240,Interviewee ,Hmm.  
participant9,241,Interviewer ,If I was trying to teach you know like a huge number of boys and young people and young men stuff about it what do you think would be effective ways of telling people about testicular health problems?
participant9,242,Interviewee ,Through emails because you could spend so time… 
participant9,243,Interviewer ,Yeah.
participant9,244,Interviewee ,with gadgets.
participant9,245,Interviewer ,"Yeah, yeah.  What accounts do you have at the moment?  Do you… in terms of your…?"
participant9,246,Interviewee ,Email.
participant9,247,Interviewer ,You have an email.  Do you have…
participant9,248,Interviewee ,Social media.  
participant9,249,Interviewer ,Which ones do you have from social media?
participant9,250,Interviewee ,Snapchat and Instagram.
participant9,251,Interviewer ,"Snapchat and Instagram fine, fine and sending out an email."
participant9,252,Mother ,Yeah.
participant9,253,Interviewer ,I'm just trying to think you know how to make these things work. 
participant9,254,Interviewee ,Maybe if like they… like send stuff out from like social media…
participant9,255,Interviewer ,Hmm.
participant9,256,Interviewee ,and add like to people or something.
participant9,257,Interviewer ,"Hmm, yeah I know absolutely I can see that.  Do you think that if you get taught about these things in schools you'll take them seriously?  Do you think the school is a good… place for it or do you think it's better not at school?"
participant9,258,Interviewee ,You know I don't really mind.
participant9,259,Interviewer ,"I know you don't seem like [laughter] very being pragmatic, yeah okay, fine.  So there is nothing that you would… springs to mind straight away is oh that would be a really good way of telling young people about this problem. "
participant9,260,Interviewee ,No. 
participant9,261,Interviewer ,"No okay, all right.  Can I say… do you talk to friends about any health problems?"
participant9,262,Interviewee ,"If I've hurt my knee I'll say, oh I'll complain to them my knee is hurting."
participant9,263,Interviewer ,"Yeah, so you're much more able to talk about your knee than your testicle aren't you?"
participant9,264,Interviewee ,Hmm.
participant9,265,Interviewer ,"Yeah, yeah and why do you think that this?"
participant9,266,Interviewee ,Say again because say it's like private.
participant9,267,Interviewer ,Hmm.
participant9,268,Interviewee ,And your knee well isn't not private. 
participant9,269,Interviewer ,"[Laughter] yeah it's not, it isn't no; not a specifically private organ, yeah absolutely right.  Yeah, okay fine.  Right, well I've got a list of questions I just wanted to ask.  I don't know if there is anything… when I was coming to talk to you today wh"
participant9,270,Interviewee ,"Yeah, just interested to see what can happen."
participant9,271,Interviewer ,"Yeah, yeah and similarly I don't think this is what you'd kind of expected you know whether there was anything else that you kind of thought about or…? "
participant9,272,Mother ,"Well, I thought it was actually going to focus on testicular cancer. "
participant9,273,Interviewer ,Yeah and the other thing that I have noticed is with the Internet and stuff is huge amounts of information about testicular cancer but very little about testicular torsion and the stuff on torsion as well I don't think is put in a way that's very… it's al
participant9,274,Mother ,No.
participant9,275,Interviewer ,"at all about… like it doesn't… to me it's not engaging, it's not very interesting it's just a dry Web site and I think it's such an important issue that it seems very odd that there's not so much that people aren't taught about it."
participant9,276,Mother ,"No, I didn't realise they were so young."
participant9,277,Interviewer ,Yes exactly.
participant9,278,Mother ,(over-talk 24:04)
participant9,279,Interviewer ,"Yes you're right and it's exactly the age group that you're coming up to now that it will be the highest risk, so… I mean, in your school I guess there will be a couple of people that have probably had a torsion and whether they've had a surgery that save"
participant9,280,Mother ,Much quicker.
participant9,281,Interviewer ,So that seems a shame.
